[2021/12/10 14:59:42] : Starting initialization...
[2021/12/10 14:59:42] : Checking internet connection... : OK
[2021/12/10 14:59:48] : Checking TLE file... : OK
[2021/12/10 14:59:48] : Connecting to database... : OK
[2021/12/10 15:00:03] : Updating database... : OK
[2021/12/10 15:00:03] : Started Cessium environment Load...
[2021/12/10 21:48:22] : Loading settings file... : OK
[2021/12/10 21:48:57] : Loading settings file... : OK
[2021/12/10 21:50:04] : Loading settings file... : OK
[2021/12/10 21:50:47] : Loading settings file... : OK
[2021/12/10 21:52:27] : Loading settings file... : OK
[2021/12/10 22:01:12] : Loading settings file... : OK
[2021/12/10 22:01:43] : Loading settings file... : OK
[2021/12/10 22:02:03] : Loading settings file... : OK
[2021/12/10 22:02:15] : Loading settings file... : OK
[2021/12/10 22:05:03] : Loading settings file... : OK
[2021/12/10 22:31:44] : Loading settings file... : OK
[2021/12/10 22:32:36] : Loading settings file... : OK
[2021/12/11 00:21:07] : Loading settings file... : OK
[2021/12/11 00:21:24] : Loading settings file... : OK
[2021/12/11 00:29:34] : Loading settings file... : OK
[2021/12/11 00:30:05] : Loading settings file... : OK
[2021/12/11 00:31:03] : Loading settings file... : OK
[2021/12/11 00:32:15] : Loading settings file... : OK
[2021/12/11 00:32:39] : Loading settings file... : OK
[2021/12/11 00:33:07] : Loading settings file... : OK
[2021/12/11 00:33:53] : Loading settings file... : OK
[2021/12/11 00:35:08] : Loading settings file... : OK
[2021/12/11 00:35:41] : Loading settings file... : OK
[2021/12/11 00:36:29] : Loading settings file... : OK
[2021/12/11 00:37:31] : Loading settings file... : OK
[2021/12/11 00:37:55] : Loading settings file... : OK
[2021/12/11 00:38:34] : Loading settings file... : OK
[2021/12/11 00:42:15] : Loading settings file... : OK
[2021/12/11 00:43:06] : Loading settings file... : OK
[2021/12/11 00:43:36] : Loading settings file... : OK
[2021/12/11 02:22:30] : Loading settings file... : OK
[2021/12/11 02:34:09] : Loading settings file... : OK
[2021/12/11 02:34:12] : Loading settings file... : OK
[2021/12/11 03:06:52] : Loading settings file... : OK
[2021/12/11 03:07:12] : Loading settings file... : OK
[2021/12/12 22:51:49] : Loading settings file... : OK
[2021/12/12 22:52:46] : Loading settings file... : OK
[2021/12/12 22:54:26] : Loading settings file... : OK
[2021/12/12 22:54:58] : Loading settings file... : OK
[2021/12/12 22:55:55] : Loading settings file... : OK
[2021/12/12 22:56:54] : Loading settings file... : OK
[2021/12/12 23:00:31] : Loading settings file... : OK
[2021/12/12 23:01:38] : Loading settings file... : OK
[2021/12/12 23:02:02] : Loading settings file... : OK
[2021/12/12 23:02:57] : Loading settings file... : OK
[2021/12/12 23:05:38] : Loading settings file... : OK
[2021/12/12 23:05:41] : Loading settings file... : OK
[2021/12/12 23:06:43] : Loading settings file... : OK
[2021/12/12 23:08:25] : Loading settings file... : OK
[2021/12/12 23:09:46] : Loading settings file... : OK
[2021/12/12 23:09:57] : Loading settings file... : OK
[2021/12/12 23:10:20] : Loading settings file... : OK
[2021/12/12 23:10:55] : Loading settings file... : OK
[2021/12/12 23:14:07] : Loading settings file... : OK
[2021/12/12 23:14:32] : Loading settings file... : OK
[2021/12/12 23:15:06] : Loading settings file... : OK
[2021/12/12 23:17:01] : Loading settings file... : OK
[2021/12/12 23:18:11] : Loading settings file... : OK
[2021/12/12 23:20:55] : Loading settings file... : OK
[2021/12/12 23:22:48] : Loading settings file... : OK
[2021/12/12 23:24:25] : Loading settings file... : OK
[2021/12/12 23:29:09] : Loading settings file... : OK
[2021/12/12 23:32:12] : Loading settings file... : OK
[2021/12/12 23:32:36] : Loading settings file... : OK
[2021/12/12 23:32:55] : Loading settings file... : OK
